~danceability~energy~key~loudness~mode~speechiness~acousticness~instrumentalness~liveness~valence~tempo~type~id~uri~track_href~analysis_url~duration_ms~time_signature~album~date~genres~rym rating~ratings~reviews~name~popularity
28~0.387~0.0695~7~-31.234~1~0.0671~0.994~0.94~0.139~0.848~181.823~track~6b1w0rV1rQ7o22QytG4MD4~spotify:track:6b1w0rV1rQ7o22QytG4MD4~https://api.spotify.com/v1/tracks/6b1w0rV1rQ7o22QytG4MD4~https://api.spotify.com/v1/audio-analysis/6b1w0rV1rQ7o22QytG4MD4~62973~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 19 a 1 Clav.~38
29~0.361~0.287~7~-16.839~1~0.0381~0.982~0.67~0.171~0.922~117.089~track~54VrtN6vHC3gXyqhDulUcW~spotify:track:54VrtN6vHC3gXyqhDulUcW~https://api.spotify.com/v1/tracks/54VrtN6vHC3gXyqhDulUcW~https://api.spotify.com/v1/audio-analysis/54VrtN6vHC3gXyqhDulUcW~50080~3~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 20 a 2 Clav.~38
30~0.324~0.285~2~-17.995~0~0.0422~0.988~0.768~0.168~0.962~90.265~track~6AAsNisZwKxgJUmMHOAYAO~spotify:track:6AAsNisZwKxgJUmMHOAYAO~https://api.spotify.com/v1/tracks/6AAsNisZwKxgJUmMHOAYAO~https://api.spotify.com/v1/audio-analysis/6AAsNisZwKxgJUmMHOAYAO~132640~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 21 Canone alla Settima~39
31~0.309~0.362~7~-17.259~1~0.0404~0.979~0.905~0.137~0.81~93.528~track~0COIj47ajICK5W2See8XSr~spotify:track:0COIj47ajICK5W2See8XSr~https://api.spotify.com/v1/tracks/0COIj47ajICK5W2See8XSr~https://api.spotify.com/v1/audio-analysis/0COIj47ajICK5W2See8XSr~63280~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 22 a 1 Clav. alla breve~38
32~0.363~0.393~7~-19.926~1~0.0434~0.99~0.821~0.162~0.967~102.681~track~3uKsFbdcE8I44qGuE0Hwas~spotify:track:3uKsFbdcE8I44qGuE0Hwas~https://api.spotify.com/v1/tracks/3uKsFbdcE8I44qGuE0Hwas~https://api.spotify.com/v1/audio-analysis/3uKsFbdcE8I44qGuE0Hwas~57986~1~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 23 a 2 Clav.~38
33~0.289~0.127~2~-26.96~1~0.039~0.987~0.91~0.112~0.931~132.288~track~3ibPePT3mJfjgcjwg2lSuG~spotify:track:3ibPePT3mJfjgcjwg2lSuG~https://api.spotify.com/v1/tracks/3ibPePT3mJfjgcjwg2lSuG~https://api.spotify.com/v1/audio-analysis/3ibPePT3mJfjgcjwg2lSuG~104040~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 24 Canone all' Ottava a 1 Clav.~38
34~0.526~0.0205~0~-33.35~0~0.0644~0.995~0.937~0.0949~0.152~138.769~track~3WtLQJEmFO5QojdOsuEOGs~spotify:track:3WtLQJEmFO5QojdOsuEOGs~https://api.spotify.com/v1/tracks/3WtLQJEmFO5QojdOsuEOGs~https://api.spotify.com/v1/audio-analysis/3WtLQJEmFO5QojdOsuEOGs~362480~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 25 a 2 Clav.~38
35~0.462~0.27~7~-16.989~1~0.0356~0.988~0.891~0.227~0.791~111.79~track~7w1t3fHbDG3XCehlTST8mC~spotify:track:7w1t3fHbDG3XCehlTST8mC~https://api.spotify.com/v1/tracks/7w1t3fHbDG3XCehlTST8mC~https://api.spotify.com/v1/audio-analysis/7w1t3fHbDG3XCehlTST8mC~51880~3~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 26 a 2 Clav.~37
36~0.285~0.296~7~-19.142~1~0.0447~0.987~0.891~0.157~0.961~106.705~track~55Vz4uotMyR5nIzgeqSroD~spotify:track:55Vz4uotMyR5nIzgeqSroD~https://api.spotify.com/v1/tracks/55Vz4uotMyR5nIzgeqSroD~https://api.spotify.com/v1/audio-analysis/55Vz4uotMyR5nIzgeqSroD~81240~3~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 27 a 2 Clav. Canone alla Nona~37
37~0.231~0.196~7~-23.951~1~0.0417~0.989~0.885~0.0853~0.826~182.992~track~0rtuph9t0tzEHZh8n5UlZ8~spotify:track:0rtuph9t0tzEHZh8n5UlZ8~https://api.spotify.com/v1/tracks/0rtuph9t0tzEHZh8n5UlZ8~https://api.spotify.com/v1/audio-analysis/0rtuph9t0tzEHZh8n5UlZ8~63266~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 28 a 2 Clav.~37
38~0.212~0.303~7~-17.084~1~0.0415~0.985~0.937~0.168~0.89~91.502~track~2cUR4W0mDmx1vOxPjO6ijc~spotify:track:2cUR4W0mDmx1vOxPjO6ijc~https://api.spotify.com/v1/tracks/2cUR4W0mDmx1vOxPjO6ijc~https://api.spotify.com/v1/audio-analysis/2cUR4W0mDmx1vOxPjO6ijc~61880~3~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 29 a 1 ovvero 2 Clav.~37
39~0.403~0.286~7~-16.624~1~0.045~0.985~0.763~0.138~0.876~138.847~track~1Ef6KfsIBJpZe2OwvHHrpe~spotify:track:1Ef6KfsIBJpZe2OwvHHrpe~https://api.spotify.com/v1/tracks/1Ef6KfsIBJpZe2OwvHHrpe~https://api.spotify.com/v1/audio-analysis/1Ef6KfsIBJpZe2OwvHHrpe~90080~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 30 a 1 Clav. Quodlibet~38
40~0.472~0.00744~7~-34.069~1~0.0644~0.995~0.937~0.0755~0.26~112.549~track~172J2JqVRzR74ILc2eBvta~spotify:track:172J2JqVRzR74ILc2eBvta~https://api.spotify.com/v1/tracks/172J2JqVRzR74ILc2eBvta~https://api.spotify.com/v1/audio-analysis/172J2JqVRzR74ILc2eBvta~227800~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Aria da capo~40
41~0.71~0.359~2~-8.813~1~0.124~0.0497~4.37e-06~0.112~0.464~83.481~track~7o2Ttn5aFdrBON1zfdzJfg~spotify:track:7o2Ttn5aFdrBON1zfdzJfg~https://api.spotify.com/v1/tracks/7o2Ttn5aFdrBON1zfdzJfg~https://api.spotify.com/v1/audio-analysis/7o2Ttn5aFdrBON1zfdzJfg~149446~4~Michigan~1 July 2003~Chamber Folk, Singer-Songwriter, Indie Folk~3.81~11682.0~106.0~Michigan~65
