,Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,Reviews
28,29,Bobby Hutcherson,Dialogue,September 1965,"Post-Bop, Modal Jazz, Avant-Garde Jazz",3.81,1604,38
29,30,Minneapolis Symphony Orchestra / Antal DorátiMinnesota OrchestraAntal Doráti,The Rite of Spring,1965,"Modern Classical, Orchestral",4.08,20,2
30,31,Orchestre National de l'O.R.T.F / Ensemble instrumental de musique contemporaine de Paris / Maurice Le Roux / Konstantin Simonovich / Yuji TakahashiOrchestre national de FranceEnsemble Instrumental de Musique Contemporaine de ParisMaurice Le RouxKonstantin Simonovich高橋悠治 [Yuji Takahashi],Metastasis; Pithoprakta; Eonta,1965,"Stochastic Music, Orchestral",3.80,895,15
31,32,Nino Rota,Giulietta degli spiriti,1965,Film Score,3.87,107,2
32,33,The Beatles,Help!,6 August 1965,Pop Rock,3.66,22037,383
33,34,Miles Davis,E.S.P.,16 August 1965,Post-Bop,3.78,2981,50
34,35,Moacir Santos,Coisas,1965,Samba-jazz,3.80,826,19
35,36,Thelonious Monk,Monk.,25 January 1965,Hard Bop,3.80,585,8
36,37,Roland Kirk,I Talk With the Spirits,March 1965,Post-Bop,3.79,1187,17
37,38,London Symphony Orchestra / John Barbirolli / Jacqueline du Pré / Janet Baker,Cello Concerto; Sea Pictures,1965,"Romanticism, Orchestral",3.79,359,6
38,39,Sam Rivers,Fuchsia Swing Song,April 1965,"Hard Bop, Post-Bop",3.78,1023,13
39,40,Various Artists,The Sound of Music,1 March 1965,"Film Soundtrack, Show Tunes",3.76,558,19
0,1,The Beatles,Revolver,5 August 1966,"Pop Rock, Psychedelic Pop",4.23,45841,1174
1,2,The Beach Boys,Pet Sounds,16 May 1966,Baroque Pop,4.18,38170,755
2,3,Bob Dylan,Blonde on Blonde,20 June 1966,"Folk Rock, Singer-Songwriter",4.16,23138,461
3,4,Ennio Morricone,"Il buono, il brutto, il cattivo",23 December 1966,"Film Score, Spaghetti Western",4.11,5392,83
4,5,John Coltrane,Ascension [Edition I],February 1966,"Free Jazz, Spiritual Jazz",3.98,7665,118
5,6,Komeda Quintet,Astigmatic,December 1966,"Avant-Garde Jazz, Post-Bop",3.95,4040,39
6,7,Nina Simone,Wild Is the Wind,June 1966,"Vocal Jazz, Soul",3.94,3317,39
7,8,John Coltrane,Meditations,August 1966,"Free Jazz, Spiritual Jazz",3.91,4317,62
8,9,Baden Powell & Vinicius de Moraes,Os afro-sambas de Baden e Vinícius,February 1966,Samba,3.93,1849,19
9,10,Wayne Shorter,Speak No Evil,April 1966,Post-Bop,3.91,4547,69
10,11,Lee Morgan,Search for the New Land,July 1966,Post-Bop,3.92,1743,28
11,12,Herbie Hancock,Maiden Voyage,February 1966,Modal Jazz,3.89,4847,54
12,13,John Coltrane,Ascension [Edition II],1966,"Free Jazz, Spiritual Jazz",3.90,721,2
13,14,The Mothers of Invention,Freak Out!,27 June 1966,"Experimental Rock, Satire, Psychedelic Rock",3.82,12377,302
14,15,Jacques Brel,Jacques Brel [Ces gens-là],23 June 1966,Chanson à texte,3.89,1974,23
15,16,Vienna Philharmonic / Solti / Nilsson / Hotter / Crespin / King / LudwigWiener PhilharmonikerGeorg SoltiBirgit NilssonHans HotterRégine CrespinJames KingChrista Ludwig,Die Walküre,1966,"Romanticism, Opera, Modern Classical",3.91,133,1
16,17,Ennio Morricone,Per un pugno di dollari,1966,"Film Score, Spaghetti Western",3.88,1143,8
17,18,Rome Opera Chorus and Orchestra / Francesco Molinari-Pradelli / Birgit Nilsson / Franco Corelli / Renata ScottoIl Coro del Teatro dell'Opera di RomaOrchestra del Teatro dell'Opera di RomaFrancesco Molinari-PradelliBirgit NilssonFranco CorelliRenata Scotto,Turandot,1966,"Opera, Romanticism",3.99,30,1
18,19,Orchestre symphonique de la Radio de Berlin / George Szell / Elisabeth SchwarzkopfDeutsches Symphonie-Orchester BerlinGeorge SzellElisabeth Schwarzkopf,Vier letzte Lieder; Muttertändelei; Waldseligkeit; Zueignung; Freundliche Vision; Die heiligen drei Könige,1966,"Lieder, Romanticism, Orchestral",3.87,317,3
19,20,Joe Henderson,Mode for Joe,September 1966,"Hard Bop, Post-Bop",3.87,899,11
20,21,Cleveland Orchestra / George Szell / Judith Raskin,Symphony No. 4 in G,1966,"Symphony, Romanticism",3.91,131,3
21,22,Otis Redding,Complete & Unbelievable: The Otis Redding Dictionary of Soul,15 October 1966,"Southern Soul, Deep Soul",3.85,2121,37
22,23,Simon and Garfunkel,"Parsley, Sage, Rosemary and Thyme",10 October 1966,"Folk Pop, Folk Rock",3.81,5944,118
23,24,Art Blakey & The Jazz Messengers,Indestructible,September 1966,"Hard Bop, Post-Bop",3.86,935,15
24,25,Joe Henderson,Inner Urge,April 1966,Hard Bop,3.84,934,12
25,26,Violeta Parra,Las últimas composiciones de Violeta Parra,November 1966,"Nueva canción latinoamericana, Singer-Songwriter",3.82,999,21
26,27,Jackie McLean,Right Now!,September 1966,Post-Bop,3.84,438,4
27,28,The Kinks,Face to Face,28 October 1966,"Pop Rock, Mod",3.78,6102,159
28,29,Quartetto Italiano,String Quartet in G minor / String Quartet in F major,1966,"Chamber Music, Impressionism",3.87,104,2
29,30,John Lee Hooker,It Serve You Right to Suffer,1966,Electric Blues,3.81,1483,20
30,31,Berlin Philharmonic Orchestra / Herbert von KarajanBerliner PhilharmonikerHerbert von Karajan,Bolero / Pictures at an Exhibition,1966,"Romanticism, Orchestral",3.86,172,2
31,32,The Horace Silver Quintet Plus J. J. JohnsonHorace SilverJ.J. Johnson,The Cape Verdean Blues,January 1966,Hard Bop,3.83,675,10
32,33,Mississippi John Hurt,Today!,October 1966,"Piedmont Blues, Country Blues",3.83,770,13
33,34,Simon & Garfunkel,Sounds of Silence,17 January 1966,"Folk Pop, Folk Rock",3.77,7232,118
34,35,The Butterfield Blues Band,East-West,August 1966,Blues Rock,3.80,1555,58
35,36,Sonny Boy Williamson,The Real Folk Blues,January 1966,Chicago Blues,3.82,204,4
36,37,Baden Powell,Tristeza on Guitar,1966,Samba-choro,3.81,686,5
37,38,Larry Young,Unity,August 1966,Post-Bop,3.79,1208,32
38,39,The Rolling Stones,Aftermath,15 April 1966,"Blues Rock, Rock",3.71,9371,220
39,40,New Philharmonia Orchestra / Otto Klemperer / Elisabeth Söderström / Marga Höffgen / Waldemar Kmentt / Martti Talvela,Missa solemnis,1966,"Classical Period, Choral, Christian Liturgical Music",3.78,157,4
0,1,The Velvet Underground & Nico,The Velvet Underground & Nico,12 March 1967,"Art Rock, Experimental Rock",4.23,48086,948
1,2,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1 June 1967,"Psychedelic Pop, Pop Rock",4.13,46086,889
2,3,The Doors,The Doors,4 January 1967,Psychedelic Rock,4.10,32376,570
3,4,The Jimi Hendrix Experience,Are You Experienced,12 May 1967,"Blues Rock, Psychedelic Rock, Acid Rock",4.12,24463,516
4,5,Leonard Cohen,Songs of Leonard Cohen,27 December 1967,"Contemporary Folk, Singer-Songwriter",4.14,18056,297
5,6,The Beatles,Magical Mystery Tour,27 November 1967,"Psychedelic Pop, Pop Rock",4.06,29035,562
6,7,Love,Forever Changes,November 1967,"Psychedelic Pop, Psychedelic Rock, Psychedelic Folk",4.01,18988,533
7,8,The Jimi Hendrix Experience,Axis: Bold as Love,1 December 1967,"Psychedelic Rock, Blues Rock",3.98,16056,314
8,9,The Doors,Strange Days,25 September 1967,Psychedelic Rock,3.94,16943,278
9,10,Artur Rubinstein,The Nocturnes,1967,Romanticism,4.04,2327,20
10,11,Pink Floyd,The Piper at the Gates of Dawn,4 August 1967,"Psychedelic Rock, Psychedelic Pop",3.85,29854,703
11,12,Captain Beefheart and His Magic Band,Safe as Milk,September 1967,"Blues Rock, Psychedelic Rock",3.90,12594,248
12,13,The Kinks,Something Else by The Kinks,15 September 1967,"Pop Rock, Baroque Pop",3.92,7891,206
13,14,Duke Ellington,Duke Ellington's Far East Suite,June 1967,Big Band,3.94,3092,49
14,15,Aretha Franklin,I Never Loved a Man the Way I Love You,10 March 1967,"Deep Soul, Southern Soul",3.92,5234,100
15,16,BBC Symphony Orchestra / Colin Davis / John Alldis Choir / Helen Donath / Yvonne Minton / Ryland Davies / Gerd Nienstedt,Requiem,1967,"Classical Period, Choral, Christian Liturgical Music",3.95,470,5
16,17,The Cannonball Adderley Quintet,"Mercy, Mercy, Mercy!",February 1967,"Hard Bop, Soul Jazz",3.93,1259,30
17,18,McCoy Tyner,The Real McCoy,October 1967,Post-Bop,3.91,2656,39
18,19,Thelonious Monk,"Straight, No Chaser",20 March 1967,Post-Bop,3.90,1943,27
19,20,Miles Davis Quintet,Miles Smiles,16 February 1967,"Modal Jazz, Post-Bop",3.87,4554,75
20,21,New Yorker Philharmoniker / Leonard BernsteinNew York PhilharmonicLeonard Bernstein,Eroica,1967,"Symphony, Classical Period, Romanticism",4.02,42,1
21,22,Berliner Philharmoniker / Claudio Abbado / Martha Argerich,Klavierkonzert Nr. 3 C-dur / Klavierkonzert G-dur,1967,"Modern Classical, Concerto",3.89,589,5
22,23,Michel Legrand,Les demoiselles de Rochefort,1967,"Film Score, Chanson, Big Band, Film Soundtrack, Show Tunes",3.87,273,8
23,24,Concertgebouworkest / Igor Markevitch / Ernest Bour / Arthur Grumiaux,Violinkonzerte,1967,"Modern Classical, Concerto",4.41,NA,NA
24,25,New Philharmonia Orchestra / Philharmonia Orchestra / Otto Klemperer / Christa Ludwig / Fritz Wunderlich,Das Lied von der Erde,1967,"Romanticism, Symphony",3.87,443,3
25,26,Jefferson Airplane,Surrealistic Pillow,February 1967,Psychedelic Rock,3.80,10876,217
26,27,Columbia Symphony Orchestra / Vladimir Golschmann / Glenn Gould,Drei Konzerte: Nr. 3 D-Dur BWV 1054; Nr. 5 f-Moll BWV 1056; Nr. 7 g-Moll BWV 1058,1967,"Baroque Music, Concerto",3.96,74,3
27,28,The Moody Blues With The London Festival Orchestra,Days of Future Passed,December 1967,"Baroque Pop, Art Rock, Progressive Pop, Symphonic Prog",3.81,7440,197
28,29,Nina Simone,Nina Simone Sings the Blues,20 March 1967,"Soul Blues, Blues",3.86,2214,24
29,30,Wayne Shorter,Adam's Apple,November 1967,Post-Bop,3.87,1363,23
30,31,James Carr,You Got My Mind Messed Up,March 1967,"Deep Soul, Southern Soul",3.84,2335,56
31,32,Andrew Hill,Compulsion,March 1967,"Free Jazz, Post-Bop, Avant-Garde Jazz",3.84,1371,20
32,33,Ewa Demarczyk,Ewa Demarczyk śpiewa piosenki Zygmunta Koniecznego,24 February 1967,Poezja śpiewana,3.84,1617,25
33,34,The Byrds,Younger Than Yesterday,6 February 1967,"Folk Rock, Psychedelic Pop, Pop Rock",3.81,5390,155
34,35,John Fahey,Volume 6: Days Have Gone By,July 1967,American Primitivism,3.83,2269,26
35,36,Martha Argerich,Frédéric Chopin,1967,Romanticism,3.95,NA,NA
36,37,Cream,Disraeli Gears,10 November 1967,"Psychedelic Rock, Blues Rock",3.75,11849,286
37,38,Bob Dylan,John Wesley Harding,27 December 1967,"Folk Rock, Contemporary Folk, Singer-Songwriter",3.78,9025,207
38,39,John Barry,You Only Live Twice,July 1967,"Film Score, Cinematic Classical",3.86,237,5
39,40,New York Philharmonic / Leonard Bernstein,Symphony No. 6,1967,"Symphony, Romanticism",3.93,56,1
0,1,The Beatles,The Beatles [White Album],22 November 1968,"Pop Rock, Rock",4.14,37612,1095
1,2,The Jimi Hendrix Experience,Electric Ladyland,25 October 1968,"Blues Rock, Psychedelic Rock, Acid Rock",4.15,21025,442
2,3,The Velvet Underground,White Light / White Heat,30 January 1968,"Experimental Rock, Noise Rock, Proto-Punk",4.03,25585,520
3,4,The Zombies,Odessey and Oracle,19 April 1968,"Psychedelic Pop, Baroque Pop",4.08,16395,423
4,5,The Kinks,The Kinks Are the Village Green Preservation Society,22 November 1968,Pop Rock,4.05,13101,331
5,6,Van Morrison,Astral Weeks,29 November 1968,"Singer-Songwriter, Chamber Folk",3.98,14742,423
6,7,The Rolling Stones,Beggars Banquet,6 December 1968,"Roots Rock, Rock",3.95,13406,307
7,8,Aretha Franklin,Lady Soul,22 January 1968,Southern Soul,3.94,4086,62
8,9,Henryk Szeryng,6 Sonaten und Partiten für Violine solo,1968,Baroque Music,4.05,70,1
9,10,The Jazz Composer's Orchestra,The Jazz Composer's Orchestra,1968,"Experimental Big Band, Free Jazz",3.89,1396,17
10,11,Sinfonieorchester des Hessischen Rundfunks / Chor des Bayerischen Rundfunks / Sinfonieorchester des Südwestfunks / Michael Gielen / Wolfgang Schubert / Ernest Bour / Liliana Poli / Barbra Ericson / Antoinette Vischerhr-SinfonieorchesterChor des Bayerischen RundfunksSWR SinfonieorchesterMichael GielenWolfgang SchubertErnest BourLiliana PoliBarbro EricsonAntoinette Vischer,Requiem; Lontano; Continuum,1968,"Modern Classical, Choral",3.90,793,5
11,12,The Sonny Criss Orchestra,Sonny's Dream (Birth of the New Cool),1968,"Progressive Big Band, Post-Bop",3.91,655,9
12,13,Various Artists,Tropicália ou panis et circencis,July 1968,Tropicália,3.89,2111,31
13,14,Simon & Garfunkel,Bookends,3 April 1968,"Folk Pop, Folk Rock",3.84,7660,149
14,15,Ennio Morricone,Il grande silenzio,1968,"Film Score, Spaghetti Western",3.92,247,5
15,16,Aretha Franklin,Aretha Now,14 June 1968,Southern Soul,3.89,1937,29
16,17,Orchester der Deutschen Oper Berlin / Chor der Deutschen Oper Berlin / Karl Böhm / Hermann Prey / Edith Mathis / Dietrich Fischer-Dieskau / Gundula Janowitz / Tatiana Troyanos,Le nozze di Figaro,1968,"Classical Period, Opera buffa",3.93,NA,NA
17,18,The Pretty Things,S.F. Sorrow,December 1968,"Psychedelic Rock, Rock Opera",3.85,4357,124
18,19,Os Mutantes,Os Mutantes,June 1968,"Tropicália, Psychedelic Rock",3.83,7418,160
19,20,The Band,Music From Big Pink,1 July 1968,"Folk Rock, Roots Rock",3.83,7579,203
20,21,The Mothers of Invention,We're Only in It for the Money,4 March 1968,"Experimental Rock, Satire",3.80,9514,223
21,22,Toronto Symphony Orchestra / Seiji Ozawa,Turangalîla Symphony / November Steps,1968,"Modern Classical, Symphony",3.96,NA,NA
22,23,Roland Kirk,The Inflated Tear,15 June 1968,Post-Bop,3.86,1938,32
23,24,Miles Davis,Nefertiti,15 January 1968,"Post-Bop, Modal Jazz",3.84,4066,52
24,25,The Byrds,The Notorious Byrd Brothers,3 January 1968,"Folk Rock, Psychedelic Rock",3.83,4990,169
25,26,Symphonieorchester des Bayerischen Rundfunks / Rafael Kubelík,"Symphonie Nr. 1 ""Der Titan""",1968,"Romanticism, Symphony",3.91,94,1
26,27,The United States of America,The United States of America,6 March 1968,"Psychedelic Rock, Experimental Rock, Art Rock",3.82,6369,146
27,28,Etta James,Tell Mama,January 1968,Southern Soul,3.86,961,23
28,29,The Peter Brötzmann Octet,Machine Gun,1968,European Free Jazz,3.80,5157,90
29,30,The Millennium,Begin,July 1968,"Sunshine Pop, Psychedelic Pop",3.83,3642,82
30,31,Nico,The Marble Index,November 1968,Avant-Folk,3.80,6626,104
31,32,Otis Redding,The Immortal Otis Redding,15 June 1968,Southern Soul,3.85,941,11
32,33,Thelonious Monk,Underground,15 April 1968,"Post-Bop, Hard Bop",3.84,1636,18
33,34,Lee Morgan,The Gigolo,June 1968,"Hard Bop, Modal Jazz",3.85,518,10
34,35,Cracow Philharmonia Orchestra / Cracow Philharmonia Chorus / Henryk Czyz / Janusz Przybylski / Stefania Woytowicz / Wieslaw Ochman / Bernard LadyszOrkiestra Symfoniczna Filharmonii im. Karola SzymanowskiegoChór Filharmonii im. Karola Szymanowskiego w KrakowieHenryk CzyżJanusz PrzybylskiStefania WoytowiczWiesław OchmanBernard Ładysz,Dies irae (Auschwitz Oratorium); Polymorphia; De natura sonoris,1968,"Sonorism, Oratorio, Orchestral",3.86,166,2
35,36,Berliner Philharmoniker / Chor des Bayerischen Rundfunks / Eugen Jochum,"Symphonie Nr. 4 ""Romantische""; 5 Motetten",1968,"Romanticism, Symphony",3.96,NA,NA
36,37,Big Brother & The Holding Company,Cheap Thrills,12 August 1968,"Blues Rock, Psychedelic Rock",3.78,4287,139
37,38,Fabrizio De André,Tutti morimmo a stento,September 1968,"Canzone d'autore, Contemporary Folk",3.81,1283,18
38,39,Berliner Philharmoniker / Herbert von Karajan,Das Rheingold,1968,"Romanticism, Opera",3.91,NA,NA
39,40,Oscar Peterson,Exclusively for My Friends Vol. III: The Way I Really Play,1968,"Jazz, Post-Bop",3.91,53,1
0,1,King Crimson,In the Court of the Crimson King,10 October 1969,"Progressive Rock, Art Rock",4.30,47965,837
1,2,The Beatles,Abbey Road,26 September 1969,Pop Rock,4.26,47468,974
2,3,Miles Davis,In a Silent Way,30 July 1969,"Jazz Fusion, Modal Jazz",4.22,18337,299
3,4,The Velvet Underground,The Velvet Underground,March 1969,Pop Rock,4.10,23381,407
4,5,Frank Zappa,Hot Rats,10 October 1969,"Jazz-Rock, Jazz Fusion",4.07,20229,367
5,6,Pharoah Sanders,Karma,May 1969,Spiritual Jazz,4.12,10386,152
6,7,Nick Drake,Five Leaves Left,1 September 1969,"Singer-Songwriter, Chamber Folk, Contemporary Folk",4.05,17522,291
7,8,Neil Young with Crazy HorseNeil YoungCrazy Horse,Everybody Knows This Is Nowhere,14 May 1969,"Country Rock, Singer-Songwriter",4.06,13330,272
8,9,Led Zeppelin,Led Zeppelin,12 January 1969,"Hard Rock, Blues Rock",3.95,29518,588
9,10,Led Zeppelin,Led Zeppelin II,22 October 1969,"Hard Rock, Blues Rock",3.94,27470,581
10,11,The Rolling Stones,Let It Bleed,29 November 1969,Blues Rock,3.98,16503,376
11,12,The Kinks,Arthur or the Decline and Fall of the British Empire,10 October 1969,Pop Rock,4.02,7777,195
12,13,Townes Van Zandt,Townes Van Zandt,September 1969,"Singer-Songwriter, Country, Contemporary Folk",4.02,7371,65
13,14,Ennio Morricone,C'era una volta il West,1969,"Film Score, Spaghetti Western",4.04,2468,44
14,15,Isaac Hayes,Hot Buttered Soul,May 1969,Soul,3.97,6097,125
15,16,Sly & The Family Stone,Stand!,3 May 1969,"Psychedelic Soul, Funk",3.94,6453,125
16,17,Scott Engel,Scott 4,November 1969,"Baroque Pop, Singer-Songwriter",3.91,8571,139
17,18,Townes Van Zandt,Our Mother the Mountain,April 1969,"Singer-Songwriter, Country, Contemporary Folk",3.92,4348,53
18,19,Creedence Clearwater Revival,Willy and the Poor Boys,2 November 1969,Swamp Rock,3.91,7036,136
19,20,The Band,The Band,22 September 1969,"Roots Rock, Folk Rock, Country Rock",3.88,7699,197
20,21,Creedence Clearwater Revival,Green River,3 August 1969,Swamp Rock,3.87,7061,122
21,22,The Stooges,The Stooges,5 August 1969,"Garage Rock, Proto-Punk",3.83,13948,252
22,23,The Cleveland Orchestra / Pierre BoulezCleveland OrchestraPierre Boulez,Le sacre du printemps,1969,"Modern Classical, Orchestral",3.92,NA,NA
23,24,Dusty Springfield,Dusty in Memphis,17 January 1969,"Pop Soul, Blue-Eyed Soul",3.86,4339,115
24,25,Fairport Convention,Liege & Lief,December 1969,"British Folk Rock, Folk Rock",3.86,4247,112
25,26,Gal Costa,Gal Costa,March 1969,"Tropicália, Psychedelic Pop",3.87,3666,43
26,27,Scott Walker,Scott 3,April 1969,"Baroque Pop, Singer-Songwriter, Art Pop",3.84,6426,76
27,28,"Crosby, Stills & Nash","Crosby, Stills & Nash",29 May 1969,Folk Rock,3.84,5131,124
28,29,Santana,Santana,August 1969,Latin Rock,3.84,4543,82
29,30,Astor Piazzolla y su Quinteto,Adiós Nonino,1969,Tango nuevo,3.88,482,6
30,31,Berlin Philharmonic / Herbert von Karajan / Mstislav RostropovichBerliner PhilharmonikerHerbert von KarajanМстислав Ростропович [Mstislav Rostropovich],"Cello Concerto in B Minor, Op. 104 / Variations on a Rococo Theme",1969,"Romanticism, Concerto",3.89,271,4
31,32,Tim Buckley,Happy Sad,April 1969,"Singer-Songwriter, Psychedelic Folk",3.82,6274,114
32,33,The Mothers of Invention,Uncle Meat,21 April 1969,"Experimental Rock, Avant-Prog",3.81,5937,162
33,34,Fairport Convention,Unhalfbricking,3 July 1969,British Folk Rock,3.84,3357,88
34,35,Sonny Sharrock,Black Woman,1969,"Free Jazz, Spiritual Jazz",3.82,3021,45
35,36,The Who,Tommy,23 May 1969,Rock Opera,3.76,11694,335
36,37,The Allman Brothers Band,The Allman Brothers Band,4 November 1969,"Southern Rock, Blues Rock",3.82,3225,78
37,38,Moondog,Moondog,September 1969,"Modern Classical, Third Stream",3.80,5523,58
38,39,Jethro Tull,Stand Up,1 August 1969,"Blues Rock, British Folk Rock",3.80,5204,144
39,40,Miles Davis,Filles de Kilimanjaro,5 February 1969,Post-Bop,3.82,3246,47
0,1,Black Sabbath,Paranoid,18 September 1970,"Heavy Metal, Hard Rock",4.20,38029,597
1,2,Miles Davis,Bitches Brew,30 March 1970,"Jazz Fusion, Avant-Garde Jazz",4.16,20180,325
2,3,Black Sabbath,Black Sabbath,13 February 1970,"Heavy Metal, Hard Rock",4.07,26403,567
3,4,Neil Young,After the Gold Rush,19 September 1970,"Folk Rock, Singer-Songwriter, Country Rock",4.09,19213,385
4,5,The Stooges,Fun House,September 1970,"Proto-Punk, Garage Rock, Hard Rock",4.09,18666,457
5,6,George Harrison,All Things Must Pass,30 November 1970,"Pop Rock, Singer-Songwriter, Folk Rock",4.06,12899,334
6,7,Creedence Clearwater Revival,Cosmo's Factory,25 July 1970,Swamp Rock,4.04,10708,226
7,8,Curtis Mayfield,Curtis,September 1970,Chicago Soul,4.04,7807,111
8,9,Nick Drake,Bryter Layter,1 November 1970,"Singer-Songwriter, Chamber Folk, Contemporary Folk",3.96,15765,263
9,10,Simon and Garfunkel,Bridge Over Troubled Water,26 January 1970,"Folk Pop, Singer-Songwriter",3.97,12133,215
10,11,Jorge Ben,Fôrça bruta,1970,"Samba Soul, Samba-rock, MPB",4.02,3802,35
11,12,Van Morrison,Moondance,28 February 1970,"Singer-Songwriter, Folk Rock",3.96,9582,244
12,13,John Lennon / Plastic Ono Band,John Lennon / Plastic Ono Band,11 December 1970,"Singer-Songwriter, Pop Rock",3.92,12095,309
13,14,Deep Purple,Deep Purple in Rock,3 June 1970,Hard Rock,3.92,10288,257
14,15,Led Zeppelin,Led Zeppelin III,5 October 1970,"Hard Rock, Folk Rock",3.83,24265,484
15,16,Soft Machine,Third,6 June 1970,"Canterbury Scene, Jazz-Rock, Jazz Fusion",3.91,8711,178
16,17,Santana,Abraxas,23 September 1970,Latin Rock,3.92,7431,150
17,18,"Crosby, Stills, Nash & Young",Déjà vu,11 March 1970,Folk Rock,3.91,7861,182
18,19,Exuma,Exuma,May 1970,"Caribbean Folk Music, Freak Folk, Psychedelic Folk",3.90,8199,72
19,20,Various Artists,Company [Original Broadway Cast],1970,Show Tunes,3.98,157,3
20,21,Van der Graaf Generator,H to He Who Am the Only One,December 1970,Progressive Rock,3.91,4514,97
21,22,Nico,Desertshore,December 1970,"Avant-Folk, Chamber Folk",3.87,9106,120
22,23,Academy of St Martin in the Fields / Neville Marriner / Alan Loveday,The Four Seasons,1970,"Baroque Music, Concerto",3.92,720,6
23,24,Amon Düül II,Yeti,April 1970,"Krautrock, Psychedelic Rock",3.85,8117,155
24,25,Alice Coltrane,"Ptah, the El Daoud",July 1970,Spiritual Jazz,3.89,3230,37
25,26,The Kinks,Lola Versus Powerman and the Moneygoround (Part One),27 November 1970,Pop Rock,3.86,5493,130
26,27,Pharoah Sanders,Deaf Dumb Blind (Summun Bukmun Umyun),October 1970,Spiritual Jazz,3.89,1716,21
27,28,Quartetto Italiano,Complete Music for String Quartet,1970,"Chamber Music, Modern Classical",3.94,195,4
28,29,Mutantes,A divina comédia ou ando meio desligado,March 1970,"Psychedelic Rock, Tropicália",3.88,3092,48
29,30,Tim Buckley,Starsailor,2 November 1970,"Experimental Rock, Avant-Folk, Singer-Songwriter",3.82,7581,153
30,31,Andrew Lloyd Webber and Tim Rice,Jesus Christ Superstar,October 1970,Rock Opera,3.84,1361,43
31,32,Caravan,"If I Could Do It All Over Again, I'd Do It All Over You",4 September 1970,"Canterbury Scene, Progressive Rock",3.86,3020,76
32,33,Art Ensemble of Chicago,Les stances à Sophie,1970,"Avant-Garde Jazz, Film Soundtrack",3.85,2601,31
33,34,T2,It'll All Work Out in Boomland,August 1970,"Progressive Rock, Heavy Psych",3.84,2984,75
34,35,Cat Stevens,Tea for the Tillerman,23 November 1970,"Singer-Songwriter, Folk Pop, Folk Rock",3.82,5867,128
35,36,Rodriguez,Cold Fact,March 1970,"Folk Rock, Singer-Songwriter",3.84,3149,70
36,37,Aretha Franklin,Spirit in the Dark,24 August 1970,"Southern Soul, Deep Soul",3.86,1386,25
37,38,New Philharmonia Orchestra / John Barbirolli / Janet Baker,Mahler Symphony No. 5; Five Rückert Songs,1970,"Romanticism, Symphony",3.90,NA,NA
38,39,The Velvet Underground,Loaded,15 November 1970,Pop Rock,3.75,16885,323
39,40,José Afonso,Traz outro amigo também,1970,Música de intervenção,3.91,166,2
0,1,Led Zeppelin,Led Zeppelin [IV],8 November 1971,Hard Rock,4.11,36631,869
1,2,Black Sabbath,Master of Reality,21 July 1971,Heavy Metal,4.13,25648,453
2,3,Marvin Gaye,What's Going On,21 May 1971,Soul,4.12,20262,342
3,4,Can,Tago Mago,August 1971,"Krautrock, Psychedelic Rock, Experimental Rock",4.08,23111,482
4,5,David Bowie,Hunky Dory,17 December 1971,"Glam Rock, Pop Rock, Art Rock",4.04,29230,522
5,6,Pink Floyd,Meddle,5 November 1971,Progressive Rock,3.97,29312,530
6,7,The Rolling Stones,Sticky Fingers,23 April 1971,Blues Rock,4.02,17204,379
7,8,Joni Mitchell,Blue,22 June 1971,"Singer-Songwriter, Contemporary Folk",4.03,16072,315
8,9,Leonard Cohen,Songs of Love and Hate,17 March 1971,"Singer-Songwriter, Contemporary Folk",4.05,12484,184
9,10,Alice Coltrane featuring Pharoah Sanders,Journey in Satchidananda,February 1971,Spiritual Jazz,4.07,8838,87
10,11,Comus,First Utterance,19 February 1971,"Progressive Folk, Psychedelic Folk, Freak Folk",4.01,11191,239
11,12,The Who,Who's Next,25 August 1971,Hard Rock,3.96,19443,533
12,13,Miles Davis,A Tribute to Jack Johnson,24 February 1971,"Jazz Fusion, Jazz-Rock, Film Score",4.02,6689,142
13,14,Funkadelic,Maggot Brain,12 July 1971,Funk Rock,3.97,14451,177
14,15,Yes,Fragile,26 November 1971,Progressive Rock,3.94,17601,342
15,16,Chico Buarque,Construção,1971,"MPB, Singer-Songwriter",4.01,5390,70
16,17,Claude Frank,The 32 Piano Sonatas,1971,"Romanticism, Classical Period",4.13,NA,NA
17,18,Paul & Linda McCartneyPaul McCartneyLinda McCartney,Ram,17 May 1971,Pop Rock,3.97,8665,234
18,19,Jethro Tull,Aqualung,19 March 1971,Progressive Rock,3.91,13245,274
19,20,The Doors,L.A. Woman,29 April 1971,"Blues Rock, Psychedelic Rock",3.89,15228,304
20,21,Sly & The Family Stone,There's a Riot Goin' On,20 November 1971,"Funk, Psychedelic Soul",3.93,8637,179
21,22,The Mahavishnu Orchestra With John McLaughlinMahavishnu OrchestraJohn McLaughlin,The Inner Mounting Flame,3 November 1971,"Jazz Fusion, Jazz-Rock",3.94,7219,145
22,23,Van der Graaf Generator,Pawn Hearts,October 1971,Progressive Rock,3.93,6751,152
23,24,T. Rex,Electric Warrior,October 1971,Glam Rock,3.92,10032,246
24,25,Wiener Philharmoniker / Konzertvereinigung Wiener Staatsopernchor / Karl Böhm / Edith Mathis / Júlia Hamari / Wiesław Ochman / Karl Ridderbusch,Requiem,1971,"Classical Period, Choral, Christian Liturgical Music",3.98,487,2
